epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
74,1421.94,0.05504,0.96023,1,0.17409,0.000345639,0.000345639,0.000345639
75,1438.59,0.0422,0.95455,1,0.17853,0.000341237,0.000341237,0.000341237
76,1461.34,0.03553,0.95265,1,0.19089,0.000336835,0.000336835,0.000336835
77,1479.04,0.03758,0.96402,1,0.15813,0.000332433,0.000332433,0.000332433
78,1501.62,0.03235,0.95076,1,0.1492,0.000328031,0.000328031,0.000328031
79,1520.54,0.03847,0.94886,0.99811,0.17076,0.000323628,0.000323628,0.000323628
80,1542.87,0.03698,0.94697,1,0.18186,0.000319226,0.000319226,0.000319226
81,1563.39,0.03672,0.95265,1,0.16903,0.000314824,0.000314824,0.000314824
82,1583.13,0.03643,0.95644,0.99811,0.1742,0.000310422,0.000310422,0.000310422
83,1600.1,0.03328,0.95833,1,0.13799,0.00030602,0.00030602,0.00030602
84,1620.37,0.02919,0.95644,1,0.13832,0.000301617,0.000301617,0.000301617
85,1642.04,0.02298,0.96591,1,0.1414,0.000297215,0.000297215,0.000297215
86,1662.04,0.02439,0.96591,1,0.10501,0.000292813,0.000292813,0.000292813
87,1679.62,0.02047,0.96402,1,0.13992,0.000288411,0.000288411,0.000288411
88,1704.64,0.02342,0.96591,0.99811,0.1741,0.000284009,0.000284009,0.000284009
89,1722.66,0.0253,0.96212,1,0.14382,0.000279606,0.000279606,0.000279606
90,1741.66,0.02612,0.95455,0.99811,0.17107,0.000275204,0.000275204,0.000275204
91,1758.01,0.03256,0.95265,1,0.17083,0.000270802,0.000270802,0.000270802
92,1775.42,0.01805,0.95833,0.99811,0.21105,0.0002664,0.0002664,0.0002664
93,1792.65,0.02803,0.94508,0.99811,0.17791,0.000261998,0.000261998,0.000261998
94,1808.27,0.02062,0.95644,0.99811,0.22139,0.000257595,0.000257595,0.000257595
95,1827.62,0.02601,0.95644,0.99811,0.16964,0.000253193,0.000253193,0.000253193
96,1842.61,0.02751,0.95265,1,0.15392,0.000248791,0.000248791,0.000248791
97,1858.47,0.01795,0.96591,1,0.14537,0.000244389,0.000244389,0.000244389
98,1878.36,0.01921,0.96591,1,0.14154,0.000239987,0.000239987,0.000239987
99,1898.53,0.0225,0.96212,0.99811,0.21395,0.000235584,0.000235584,0.000235584
100,1920.56,0.01816,0.96402,0.99811,0.13502,0.000231182,0.000231182,0.000231182
101,1944.41,0.01892,0.96402,0.99811,0.19597,0.00022678,0.00022678,0.00022678
102,1960.87,0.01616,0.9678,0.99811,0.12946,0.000222378,0.000222378,0.000222378
103,1976.78,0.01231,0.96591,0.99811,0.13705,0.000217976,0.000217976,0.000217976
104,1992.57,0.02222,0.96591,0.99811,0.13959,0.000213573,0.000213573,0.000213573
105,2008.46,0.0189,0.96402,1,0.1549,0.000209171,0.000209171,0.000209171
106,2025.95,0.02752,0.96402,1,0.16022,0.000204769,0.000204769,0.000204769
107,2045.68,0.01508,0.96591,1,0.18981,0.000200367,0.000200367,0.000200367
108,2062.88,0.01552,0.96212,0.99811,0.1397,0.000195965,0.000195965,0.000195965
109,2078.61,0.02237,0.9678,0.99811,0.1673,0.000191562,0.000191562,0.000191562
110,2094.3,0.0144,0.96212,0.99811,0.11974,0.00018716,0.00018716,0.00018716
111,2111.59,0.01642,0.96212,0.99811,0.12505,0.000182758,0.000182758,0.000182758
112,2126.82,0.02236,0.96591,0.99811,0.13224,0.000178356,0.000178356,0.000178356
113,2143.16,0.01794,0.97159,0.99811,0.15674,0.000173954,0.000173954,0.000173954
114,2159.64,0.0203,0.95833,0.99621,0.152,0.000169551,0.000169551,0.000169551
115,2176.07,0.01504,0.97159,0.99811,0.12781,0.000165149,0.000165149,0.000165149
116,2191.84,0.0137,0.9697,0.99811,0.12799,0.000160747,0.000160747,0.000160747
117,2208.83,0.0185,0.96591,0.99811,0.13174,0.000156345,0.000156345,0.000156345
118,2224.15,0.01473,0.97348,0.99811,0.13278,0.000151943,0.000151943,0.000151943
